,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,CLOSE,LEGALCLOSEPRICE,50MA
0,2022-10-03,Система ао,AFKS,23463,413029803.5,10.667,10.539,11.295,11.23,11.027,
1,2022-10-04,Система ао,AFKS,20210,411046922.5,11.31,10.79,11.45,11.0,10.97,
2,2022-10-05,Система ао,AFKS,22194,398151160.5,11.0,10.335,11.001,10.749,10.691,
3,2022-10-06,Система ао,AFKS,9984,172203305.1,10.789,10.601,10.975,10.611,10.669,
4,2022-10-07,Система ао,AFKS,15003,190877660.8,10.6,10.14,10.6,10.14,10.28,
5,2022-10-10,Система ао,AFKS,20681,367910331.6,9.999,9.525,10.66,10.582,10.544,
6,2022-10-11,Система ао,AFKS,11318,190797202.8,10.6,10.456,10.899,10.696,10.782,
7,2022-10-12,Система ао,AFKS,8924,160271931.1,10.81,10.606,10.98,10.794,10.833,
8,2022-10-13,Система ао,AFKS,10530,206644997.1,10.78,10.703,11.105,10.994,10.944,
9,2022-10-14,Система ао,AFKS,6926,138193164.9,11.07,10.85,11.095,10.99,10.973,
10,2022-10-17,Система ао,AFKS,10855,232486682.6,11.092,10.995,11.55,11.498,11.534,
11,2022-10-18,Система ао,AFKS,20902,480175536.2,11.511,11.251,11.877,11.32,11.592,
12,2022-10-19,Система ао,AFKS,13998,283342599.8,11.413,11.065,11.47,11.41,11.35,
13,2022-10-20,Система ао,AFKS,13442,258344293.9,11.475,11.45,11.79,11.653,11.753,
14,2022-10-21,Система ао,AFKS,9846,174830478.6,11.554,11.456,11.92,11.85,11.754,
15,2022-10-24,Система ао,AFKS,12341,246594611.9,11.93,11.66,12.08,11.838,11.892,
16,2022-10-25,Система ао,AFKS,25405,426684331.6,11.8,11.779,12.5,12.321,12.5,
17,2022-10-26,Система ао,AFKS,27440,635032882.1,12.428,12.345,12.884,12.649,12.502,
18,2022-10-27,Система ао,AFKS,13325,258849067.4,12.73,12.568,12.86,12.77,12.792,
19,2022-10-28,Система ао,AFKS,11260,224130575.0,12.76,12.476,12.76,12.696,12.75,
20,2022-10-31,Система ао,AFKS,9541,191889203.2,12.735,12.673,12.89,12.77,12.727,
21,2022-11-01,Система ао,AFKS,8589,213467336.9,12.8,12.545,12.837,12.77,12.8,
22,2022-11-02,Система ао,AFKS,8272,151544481.0,12.81,12.0,12.818,12.463,12.701,
23,2022-11-03,Система ао,AFKS,9785,214143534.0,12.42,12.212,12.56,12.453,12.44,
24,2022-11-07,Система ао,AFKS,13680,319430854.1,12.676,12.565,12.984,12.975,12.963,
25,2022-11-08,Система ао,AFKS,14623,380547632.8,12.986,12.86,13.268,13.096,13.15,
26,2022-11-09,Система ао,AFKS,17109,529417613.4,13.05,12.624,13.15,12.814,12.891,
27,2022-11-10,Система ао,AFKS,17613,468386043.1,12.816,12.816,13.244,13.034,12.986,
28,2022-11-11,Система ао,AFKS,9312,188794729.3,13.088,12.901,13.16,13.02,12.959,
29,2022-11-14,Система ао,AFKS,11412,183334468.3,13.055,12.92,13.12,13.027,13.089,
30,2022-11-15,Система ао,AFKS,16618,396047414.1,13.015,12.064,13.098,12.585,12.87,
