TRADEDATE,SECID,CLOSE,50MA
2023-01-03,IMOEX,2172.68,2171.42
2023-01-04,IMOEX,2168.42,2173.51
2023-01-05,IMOEX,2156.67,2174.03
2023-01-06,IMOEX,2156.39,2174.74
2023-01-09,IMOEX,2163.5,2174.72
2023-01-10,IMOEX,2159.51,2174.56
2023-01-11,IMOEX,2186.98,2174.96
2023-01-12,IMOEX,2185.93,2175.2
2023-01-13,IMOEX,2199.94,2175.72
2023-01-16,IMOEX,2224.9,2177.1
2023-01-17,IMOEX,2196.84,2176.86
2023-01-18,IMOEX,2196.26,2176.64
2023-01-19,IMOEX,2168.83,2176.68
2023-01-20,IMOEX,2166.69,2175.82
2023-01-23,IMOEX,2185.31,2175.18
2023-01-24,IMOEX,2172.75,2173.74
2023-01-25,IMOEX,2170.15,2172.67
2023-01-26,IMOEX,2166.92,2171.47
2023-01-27,IMOEX,2189.35,2171.0
2023-01-30,IMOEX,2204.41,2170.96
2023-01-31,IMOEX,2225.6,2172.14
2023-02-01,IMOEX,2230.15,2172.83
2023-02-02,IMOEX,2243.54,2173.46
2023-02-03,IMOEX,2248.3,2174.21
2023-02-06,IMOEX,2272.37,2175.75
2023-02-07,IMOEX,2267.69,2177.55
2023-02-08,IMOEX,2251.97,2178.89
2023-02-09,IMOEX,2262.45,2180.65
2023-02-10,IMOEX,2261.58,2182.13
2023-02-13,IMOEX,2264.27,2183.81
2023-02-14,IMOEX,2232.23,2184.29
2023-02-15,IMOEX,2166.46,2183.69
2023-02-16,IMOEX,2153.96,2182.91
2023-02-17,IMOEX,2168.88,2182.6
2023-02-20,IMOEX,2183.57,2182.72
2023-02-21,IMOEX,2212.42,2183.5
2023-02-22,IMOEX,2212.4,2184.26
2023-02-24,IMOEX,2208.03,2185.23
2023-02-27,IMOEX,2241.1,2187.51
2023-02-28,IMOEX,2253.16,2189.92
2023-03-01,IMOEX,2279.65,2192.91
2023-03-02,IMOEX,2254.3,2195.61
2023-03-03,IMOEX,2272.2,2198.73
2023-03-06,IMOEX,2294.12,2202.16
2023-03-07,IMOEX,2295.6,2205.59
2023-03-09,IMOEX,2290.14,2208.61
2023-03-10,IMOEX,2276.25,2211.12
2023-03-13,IMOEX,2269.47,2213.71
2023-03-14,IMOEX,2290.32,2216.57
2023-03-15,IMOEX,2262.07,2218.73
2023-03-16,IMOEX,2258.22,2220.44
2023-03-17,IMOEX,2322.78,2223.53
2023-03-20,IMOEX,2397.16,2228.34
2023-03-21,IMOEX,2398.15,2233.18
2023-03-22,IMOEX,2393.88,2237.78
2023-03-23,IMOEX,2388.35,2242.36
2023-03-24,IMOEX,2391.53,2246.45
2023-03-27,IMOEX,2440.68,2251.55
2023-03-28,IMOEX,2442.19,2256.39
2023-03-29,IMOEX,2460.87,2261.11
2023-03-30,IMOEX,2465.93,2266.49
2023-03-31,IMOEX,2450.67,2271.58
2023-04-03,IMOEX,2473.32,2277.67
