TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,CLOSE,LEGALCLOSEPRICE,50MA
2023-01-03,Система ао,AFKS,5116,75900025.2,11.937,11.937,12.19,12.169,12.15,12.48
2023-01-04,Система ао,AFKS,4836,72121710.7,12.21,12.034,12.263,12.263,12.26,12.48
2023-01-05,Система ао,AFKS,4442,63756002.0,12.266,12.09,12.286,12.105,12.1,12.48
2023-01-06,Система ао,AFKS,4553,75643362.3,12.095,11.985,12.178,12.039,12.002,12.47
2023-01-09,Система ао,AFKS,16664,522726309.7,12.076,11.803,12.182,11.879,11.9,12.45
2023-01-10,Система ао,AFKS,7050,116752203.7,11.863,11.75,11.897,11.876,11.85,12.43
2023-01-11,Система ао,AFKS,11395,238994979.3,11.832,11.832,12.21,12.137,12.104,12.42
2023-01-12,Система ао,AFKS,8783,205434772.3,12.106,11.968,12.198,12.086,12.062,12.41
2023-01-13,Система ао,AFKS,27771,512691064.4,12.09,12.071,12.598,12.569,12.569,12.41
2023-01-16,Система ао,AFKS,19833,394876797.5,12.666,12.574,12.857,12.821,12.857,12.42
2023-01-17,Система ао,AFKS,15011,322384162.0,12.848,12.424,12.848,12.515,12.424,12.41
2023-01-18,Система ао,AFKS,13223,262022745.0,12.515,12.38,12.68,12.411,12.38,12.39
2023-01-19,Система ао,AFKS,15725,292124772.2,12.38,12.082,12.42,12.14,12.17,12.38
2023-01-20,Система ао,AFKS,9888,206037571.1,12.101,12.056,12.299,12.228,12.188,12.36
2023-01-23,Система ао,AFKS,15240,363270534.2,12.299,12.25,12.49,12.33,12.322,12.35
2023-01-24,Система ао,AFKS,13261,333608426.6,12.34,12.28,12.475,12.3,12.28,12.34
2023-01-25,Система ао,AFKS,15218,304175784.9,12.32,11.8,12.32,12.209,12.12,12.33
2023-01-26,Система ао,AFKS,6620,109495467.4,12.237,12.155,12.26,12.195,12.213,12.31
2023-01-27,Система ао,AFKS,7412,151921810.1,12.195,12.17,12.371,12.355,12.371,12.3
2023-01-30,Система ао,AFKS,7704,165432103.6,12.415,12.353,12.484,12.425,12.367,12.3
2023-01-31,Система ао,AFKS,19208,363263343.4,12.434,12.383,12.757,12.711,12.7,12.3
2023-02-01,Система ао,AFKS,20267,450362841.8,12.747,12.458,12.936,12.736,12.77,12.3
2023-02-02,Система ао,AFKS,19397,411728705.2,12.752,12.675,13.13,12.95,12.93,12.3
2023-02-03,Система ао,AFKS,10915,279783880.6,12.949,12.817,13.113,13.068,12.978,12.31
2023-02-06,Система ао,AFKS,32604,832916904.8,13.273,13.204,13.65,13.592,13.581,12.33
2023-02-07,Система ао,AFKS,19007,480088654.3,13.64,13.542,13.975,13.625,13.6,12.35
2023-02-08,Система ао,AFKS,20294,494687940.7,13.695,13.22,13.704,13.322,13.25,12.37
2023-02-09,Система ао,AFKS,13142,331353775.9,13.42,13.103,13.499,13.364,13.463,12.38
2023-02-10,Система ао,AFKS,13455,307497055.1,13.392,13.274,13.613,13.412,13.427,12.4
2023-02-13,Система ао,AFKS,14114,216128270.4,13.459,13.377,13.62,13.4,13.5,12.41
2023-02-14,Система ао,AFKS,17708,383396325.0,13.476,13.11,13.476,13.155,13.272,12.42
2023-02-15,Система ао,AFKS,27655,619859696.5,13.122,12.374,13.122,12.587,12.65,12.43
2023-02-16,Система ао,AFKS,19367,420528316.7,12.65,12.348,12.868,12.509,12.348,12.43
2023-02-17,Система ао,AFKS,12027,255972923.9,12.46,12.25,12.64,12.501,12.501,12.42
2023-02-20,Система ао,AFKS,12571,289501859.9,12.51,12.284,12.863,12.702,12.742,12.43
2023-02-21,Система ао,AFKS,15061,387386939.8,12.77,12.688,13.04,12.946,12.911,12.44
2023-02-22,Система ао,AFKS,8318,154378794.9,12.967,12.727,12.999,12.792,12.826,12.45
2023-02-24,Система ао,AFKS,5840,110200594.4,12.763,12.763,12.93,12.809,12.835,12.46
2023-02-27,Система ао,AFKS,11011,245731572.8,12.699,12.66,13.014,12.978,13.014,12.48
2023-02-28,Система ао,AFKS,13784,273403250.9,13.029,12.977,13.15,13.0,13.019,12.5
2023-03-01,Система ао,AFKS,11465,206989574.4,13.015,13.012,13.242,13.235,13.196,12.54
2023-03-02,Система ао,AFKS,15146,307292458.5,13.242,12.9,13.268,12.966,13.009,12.55
2023-03-03,Система ао,AFKS,11124,302800520.7,12.966,12.931,13.306,13.248,13.306,12.57
2023-03-06,Система ао,AFKS,17196,371800648.5,13.32,13.26,13.521,13.361,13.4,12.6
2023-03-07,Система ао,AFKS,7420,134027295.7,13.32,13.28,13.476,13.434,13.35,12.62
2023-03-09,Система ао,AFKS,8931,167094082.1,13.38,13.215,13.439,13.345,13.367,12.65
2023-03-10,Система ао,AFKS,6115,115987879.8,13.25,13.24,13.344,13.276,13.32,12.68
2023-03-13,Система ао,AFKS,10188,230788684.0,13.276,13.125,13.4,13.317,13.35,12.7
2023-03-14,Система ао,AFKS,7278,169896737.1,13.317,13.255,13.417,13.324,13.415,12.73
2023-03-15,Система ао,AFKS,14733,313516589.8,13.4,13.013,13.498,13.153,13.22,12.76
2023-03-16,Система ао,AFKS,10287,198213003.3,13.1,12.961,13.228,13.183,13.087,12.78
2023-03-17,Система ао,AFKS,14211,267725873.3,13.22,13.163,13.392,13.256,13.255,12.8
2023-03-20,Система ао,AFKS,23924,726345151.2,13.327,13.21,13.945,13.896,13.848,12.83
2023-03-21,Система ао,AFKS,25451,787714842.5,13.89,13.404,14.227,13.583,13.518,12.86
2023-03-22,Система ао,AFKS,16635,463027506.8,13.58,13.435,13.947,13.75,13.805,12.9
2023-03-23,Система ао,AFKS,12959,339273008.2,13.76,13.67,13.995,13.96,13.927,12.94
2023-03-24,Система ао,AFKS,31197,954449512.9,14.0,13.998,14.397,14.327,14.252,12.99
2023-03-27,Система ао,AFKS,25510,692826712.4,14.327,14.307,14.68,14.508,14.513,13.04
2023-03-28,Система ао,AFKS,21877,626241537.8,14.568,14.123,14.597,14.391,14.387,13.07
2023-03-29,Система ао,AFKS,19278,553900096.3,14.4,14.16,14.65,14.634,14.585,13.11
2023-03-30,Система ао,AFKS,14245,373406520.5,14.65,14.464,14.7,14.544,14.587,13.15
2023-03-31,Система ао,AFKS,19563,680680543.9,14.589,14.253,14.8,14.787,14.7,13.2
2023-04-03,Система ао,AFKS,20985,508763977.8,14.872,14.652,15.0,14.787,14.759,13.25
2023-04-04,Система ао,AFKS,15449,448276951.3,14.801,14.596,15.0,14.741,14.65,13.3
2023-04-05,Система ао,AFKS,13001,405166144.1,14.74,14.47,14.802,14.741,14.8,13.35
2023-04-06,Система ао,AFKS,9633,266218173.7,14.786,14.611,14.786,14.644,14.737,13.39
2023-04-07,Система ао,AFKS,9421,213288371.7,14.644,14.565,14.8,14.778,14.69,13.45
2023-04-10,Система ао,AFKS,20907,609681668.8,14.9,14.831,15.244,15.137,15.123,13.5
2023-04-11,Система ао,AFKS,30687,840208968.3,15.185,14.33,15.19,14.676,14.72,13.55
2023-04-12,Система ао,AFKS,35784,756042582.1,14.749,14.433,14.752,14.623,14.625,13.6
2023-04-13,Система ао,AFKS,14548,370661137.1,14.646,14.362,14.666,14.518,14.491,13.63
2023-04-14,Система ао,AFKS,12274,405520343.6,14.518,14.414,14.844,14.798,14.8,13.67
2023-04-17,Система ао,AFKS,15427,459997863.3,14.85,14.82,15.13,15.025,15.099,13.71
2023-04-18,Система ао,AFKS,12258,463967067.2,15.084,14.845,15.116,15.047,15.073,13.75
2023-04-19,Система ао,AFKS,16230,581419368.7,15.047,14.84,15.093,14.912,15.0,13.78
2023-04-20,Система ао,AFKS,11365,374860288.0,14.912,14.593,14.937,14.827,14.815,13.8
2023-04-21,Система ао,AFKS,6712,286117499.4,14.879,14.729,14.93,14.911,14.9,13.84
2023-04-24,Система ао,AFKS,7742,173349207.3,14.911,14.801,14.987,14.889,14.848,13.87
2023-04-25,Система ао,AFKS,48701,1733442855.5,14.9,14.82,15.74,15.615,15.4,13.91
2023-04-26,Система ао,AFKS,30543,1141867755.0,15.74,15.44,16.066,15.476,15.56,13.95
