BOARDID;SECID;TRADEDATE;SHORTNAME;NAME;CLOSE;OPEN;HIGH;LOW;VALUE;DURATION;YIELD;DECIMALS;CAPITALIZATION;CURRENCYID;DIVISOR;TRADINGSESSION;VOLUME
SNDX;IMOEX;2022-10-03;Индекс МосБиржи;Индекс МосБиржи;2041.96;1991.88;2047.54;1972.43;44257545026.7;0;0;2;10067152793057.38;RUB;4930146741.214100;3;
SNDX;IMOEX;2022-10-04;Индекс МосБиржи;Индекс МосБиржи;2046.42;2071.19;2079.67;2016.59;46366353260.7;0;0;2;10089141999278.76;RUB;4930146741.214100;3;
SNDX;IMOEX;2022-10-05;Индекс МосБиржи;Индекс МосБиржи;2029.88;2041.5;2045.62;1971.91;53461971146.1;0;0;2;10007623520929.867;RUB;4930146741.214100;3;
SNDX;IMOEX;2022-10-06;Индекс МосБиржи;Индекс МосБиржи;2020.63;2027.3;2053.86;2015.09;35091173555.05;0;0;2;9961995203200.76;RUB;4930146741.214100;3;
SNDX;IMOEX;2022-10-07;Индекс МосБиржи;Индекс МосБиржи;1944.75;2012.95;2012.95;1939.54;41355184462.6;0;0;2;9587889137400.754;RUB;4930146741.214100;3;
SNDX;IMOEX;2022-10-10;Индекс МосБиржи;Индекс МосБиржи;1916.97;1783.66;1917.91;1775.04;56385754466.1;0;0;2;9450925556588.29;RUB;4930146741.214100;3;
SNDX;IMOEX;2022-10-11;Индекс МосБиржи;Индекс МосБиржи;1949.46;1928.74;1952.8;1909.11;31814724761.25;0;0;2;9611121305627.438;RUB;4930146741.214100;3;
SNDX;IMOEX;2022-10-12;Индекс МосБиржи;Индекс МосБиржи;1951.65;1965.39;1974.59;1937.93;27544147227.5;0;0;2;9621913998261.648;RUB;4930146741.214100;3;
SNDX;IMOEX;2022-10-13;Индекс МосБиржи;Индекс МосБиржи;1955.2;1950.24;1975.84;1941.18;25239455241.2;0;0;2;9639414193300.59;RUB;4930146741.214100;3;
SNDX;IMOEX;2022-10-14;Индекс МосБиржи;Индекс МосБиржи;1950.98;1963.38;1965.77;1933.29;23793882193.25;0;0;2;9618611152725.963;RUB;4930146741.214100;3;
SNDX;IMOEX;2022-10-17;Индекс МосБиржи;Индекс МосБиржи;2012.85;1958.18;2013.61;1955.7;32246002624.9;0;0;2;9923666830044.977;RUB;4930146741.214100;3;
SNDX;IMOEX;2022-10-18;Индекс МосБиржи;Индекс МосБиржи;2032.4;2031.56;2039.67;1999.38;33771126653.65;0;0;2;10020049195584.727;RUB;4930146741.214100;3;
SNDX;IMOEX;2022-10-19;Индекс МосБиржи;Индекс МосБиржи;1978.4;1986.67;2006.06;1953.74;35837150710.55;0;0;2;9753816942349.756;RUB;4930146741.214100;3;
SNDX;IMOEX;2022-10-20;Индекс МосБиржи;Индекс МосБиржи;2025.51;1998.74;2032.58;1991.09;35871004460.3;0;0;2;9986071168198.123;RUB;4930146741.214100;3;
SNDX;IMOEX;2022-10-21;Индекс МосБиржи;Индекс МосБиржи;2043.71;2026.44;2049;2000.68;35187924135.05;0;0;2;10075790014288.482;RUB;4930146741.214100;3;
SNDX;IMOEX;2022-10-24;Индекс МосБиржи;Индекс МосБиржи;2063.95;2070.36;2088.31;2048.37;32652624967.05;0;0;2;10175575419979.822;RUB;4930146741.214100;3;
SNDX;IMOEX;2022-10-25;Индекс МосБиржи;Индекс МосБиржи;2130.65;2066.28;2130.65;2058.09;42887815544.05;0;0;2;10504426038008.812;RUB;4930146741.214100;3;
SNDX;IMOEX;2022-10-26;Индекс МосБиржи;Индекс МосБиржи;2120.58;2131.18;2144.56;2093.12;42015203006.9;0;0;2;10454762285554.521;RUB;4930146741.214100;3;
SNDX;IMOEX;2022-10-27;Индекс МосБиржи;Индекс МосБиржи;2164.64;2133.81;2164.64;2123.57;41008408450.6;0;0;2;10672001047475.965;RUB;4930146741.214100;3;
SNDX;IMOEX;2022-10-28;Индекс МосБиржи;Индекс МосБиржи;2167.7;2154.28;2171.88;2130.75;43444621093.25;0;0;2;10687056886494.195;RUB;4930146741.214100;3;
SNDX;IMOEX;2022-10-31;Индекс МосБиржи;Индекс МосБиржи;2166.61;2173;2184.38;2155.75;31288260044.75;0;0;2;10681704490963.467;RUB;4930146741.214100;3;
SNDX;IMOEX;2022-11-01;Индекс МосБиржи;Индекс МосБиржи;2174.35;2179.15;2185.6;2161.18;21732654118.25;0;0;2;10719850615029.979;RUB;4930146741.214100;3;
SNDX;IMOEX;2022-11-02;Индекс МосБиржи;Индекс МосБиржи;2173.84;2178.25;2184.89;2160.56;22031567419.25;0;0;2;10717344372983.096;RUB;4930146741.214100;3;
