BOARDID;TRADEDATE;SHORTNAME;SECID;NUMTRADES;VALUE;OPEN;LOW;HIGH;LEGALCLOSEPRICE;WAPRICE;CLOSE;VOLUME;MARKETPRICE2;MARKETPRICE3;ADMITTEDQUOTE;MP2VALTRD;MARKETPRICE3TRADESVALUE;ADMITTEDVALUE;WAVAL;TRADINGSESSION;CURRENCYID;TRENDCLSPR
TQBR;2022-10-03;Система ао;AFKS;23463;413029803.5;10.667;10.539;11.295;11.027;10.943;11.23;37743100;10.915;10.915;11.027;367572316.9;367572316.9;367572316.9;0;3;SUR;5.16
TQBR;2022-10-04;Система ао;AFKS;20210;411046922.5;11.31;10.79;11.45;10.97;11.06;11;37165800;11.059;11.059;10.97;371973982.7;371973982.7;371973982.7;0;3;SUR;-2.05
TQBR;2022-10-05;Система ао;AFKS;22194;398151160.5;11;10.335;11.001;10.691;10.626;10.749;37469400;10.622;10.622;10.691;378026881.6;378026881.6;378026881.6;0;3;SUR;-2.28
TQBR;2022-10-06;Система ао;AFKS;9984;172203305.1;10.789;10.601;10.975;10.669;10.764;10.611;15998100;10.771;10.771;10.669;162754458.2;162754458.2;162754458.2;0;3;SUR;-1.28
TQBR;2022-10-07;Система ао;AFKS;15003;190877660.8;10.6;10.14;10.6;10.28;10.335;10.14;18469800;10.386;10.386;10.28;141480182.7;141480182.7;141480182.7;0;3;SUR;-4.44
TQBR;2022-10-10;Система ао;AFKS;20681;367910331.6;9.999;9.525;10.66;10.544;10.233;10.582;35951800;10.22;10.22;10.544;350369866.8;350369866.8;350369866.8;0;3;SUR;4.36
TQBR;2022-10-11;Система ао;AFKS;11318;190797202.8;10.6;10.456;10.899;10.782;10.661;10.696;17896600;10.643;10.643;10.782;161392978.9;161392978.9;161392978.9;0;3;SUR;1.08
TQBR;2022-10-12;Система ао;AFKS;8924;160271931.1;10.81;10.606;10.98;10.833;10.778;10.794;14869900;10.78;10.78;10.833;139076454;139076454;139076454;0;3;SUR;0.92
TQBR;2022-10-13;Система ао;AFKS;10530;206644997.1;10.78;10.703;11.105;10.944;10.921;10.994;18922400;10.918;10.918;10.944;194525096.8;194525096.8;194525096.8;0;3;SUR;1.85
TQBR;2022-10-14;Система ао;AFKS;6926;138193164.9;11.07;10.85;11.095;10.973;10.968;10.99;12599600;10.968;10.968;10.973;129110257;129110257;129110257;0;3;SUR;-0.04
